idx,name_roi,name_bone,main_angle_gst,inter_angle_gst,min_angle_gst,main_eigenvalues_gst,inter eigenvalues_gst,min eigenvalues_gst,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumEntropy,original_glcm_SumSquares,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength,deep_feature 1,deep_feature 18,deep_feature 27,deep_feature 33,deep_feature 35,deep_feature 43,deep_feature 54,deep_feature 57,deep_feature 66,deep_feature 67,deep_feature 82,deep_feature 91,deep_feature 94,deep_feature 100,deep_feature 103,deep_feature 117,deep_feature 122,deep_feature 141,deep_feature 146,deep_feature 153,deep_feature 173,deep_feature 177,deep_feature 178,deep_feature 188,deep_feature 195,deep_feature 201,deep_feature 202,deep_feature 203,deep_feature 206,deep_feature 210,deep_feature 212,deep_feature 216,deep_feature 223,deep_feature 228,deep_feature 232,deep_feature 236,deep_feature 253,deep_feature 259,deep_feature 271,deep_feature 280,deep_feature 285,deep_feature 288,deep_feature 324,deep_feature 329,deep_feature 335,deep_feature 340,deep_feature 349,deep_feature 357,deep_feature 363,deep_feature 364,deep_feature 367,deep_feature 374,deep_feature 375,deep_feature 385,deep_feature 388,deep_feature 403,deep_feature 404,deep_feature 417,deep_feature 420,deep_feature 428,deep_feature 432,deep_feature 435,deep_feature 439,deep_feature 452,deep_feature 454,deep_feature 460,deep_feature 467,deep_feature 475,deep_feature 489,deep_feature 500,deep_feature 506,deep_feature 511
241,Segmentation-grayscale-1_119-65739,Segmentation-grayscale_119-65739,80.04475114,89.96542873,9.955304633,8193.384766,7755.315918,1812.386597,268.9040039,1120.431445,3.23E+11,5.464949775,457.0997314,3.010781561,269.0638231,604.4860876,505.1233215,193.831678,687.9166416,0.928896739,3.23E+11,0.02786437,107825.8757,728.4511115,978738.6069,11663.96047,576.4936501,120.3257192,0.654882774,7.972764341,4.42659268,53.49293859,0.23702468,0.154319266,0.979274711,0.908574291,-0.094081679,0.750645863,0.157455844,24.78724697,0.001416389,10.431551,0.672304145,0.005782899,6.377339468,174.2048423,17418.17593,0.027082435,173.3148087,799.2187978,1.205489049,897.0986727,0.004551986,0.003494384,5.802031174,577620.1144,0.897376655,0.942803108,0.077426442,0.958472567,777.7026333,0.003291763,7466.368015,0.022532972,170.3838631,997.9696879,25.90743708,7049.344844,0.157381096,0.00259571,151202.8436,0.456319525,0.702231241,744.934526,0.001601742,7.365114421,0.48586695,21.67134605,7.616478121,160746.6052,0.23570471,2.547225662,19003.0265,172.5952646,781.6866315,8.732987479,3959.84355,0.045832635,0.003582387,0.418535338,417.2322706,0.001071829,50.19205822,1.43E-05,10513.72046,0.29377267,0.036774712,0.353958935,0.186471552,0.3907682,0.64796716,0.859717309,0.422388345,0.427464932,0.330692798,0.378997445,0.709588647,0.327960968,0.207833409,0.473933846,0.597437024,0.252577573,0.3241449,0.409850717,0.303316385,0.565230906,0.558971584,0.324203432,0.541610599,0.205781072,0.447297245,0.281205773,0.355820417,0.476884842,0.551665127,0.166416168,0.537026584,0.566746831,0.357584715,0.438728064,0.51345104,0.38237834,0.406640083,0.533510268,0.636797786,0.491319448,0.306391865,0.597789109,0.333757043,0.477876723,0.565575778,0.436218113,0.491131604,0.496004075,0.322496176,0.456975907,0.612831473,0.549311161,0.204252884,0.169006526,0.182675898,0.566944838,0.58623749,0.676766932,0.508261383,0.487034202,0.510325134,0.622790277,0.510250211,0.435381263,0.402230144,0.406056345,0.33527413,0.380317301,0.339239359,0.623390138,0.44514063,0.380982459,0.836670935
253,Segmentation-grayscale-10_119-65739,Segmentation-grayscale_119-65739,79.79774866,89.29047334,10.22741235,8341.87793,7961.704102,1842.463379,256.1412903,1116.274561,3.17E+11,5.479775521,459.7933502,3.043363307,271.5853132,594.8642347,493.6836853,195.048889,681.2407669,0.940645879,3.17E+11,0.027616191,110225.5247,711.8577898,1036220.543,12251.57155,589.2975132,123.0538759,0.654752821,8.063485642,4.441975679,54.68426194,0.235404348,0.152818399,0.978841436,0.907693799,-0.093831913,0.750521401,0.155929476,24.39867827,0.001388241,10.46092639,0.671866955,0.005600938,6.392461386,178.0878473,17283.03633,0.026854054,177.2065352,783.9449586,1.203066557,877.8285953,0.004950363,0.003808821,5.813833946,578697.3306,0.898439296,0.943434412,0.076484305,0.95892452,763.237207,0.003589932,7442.466035,0.022307879,174.7315464,981.8618179,25.61654253,6690.268859,0.167398376,0.002827129,153405.9537,0.459815522,0.704946941,736.6718616,0.001745198,7.367511673,0.489198411,21.43795095,7.621842763,161879.2505,0.237365522,2.499517562,18833.77283,176.4505539,766.6751371,8.60390215,3801.03168,0.049249141,0.003904413,0.42189673,413.9661382,0.001174303,52.32970025,1.43E-05,10636.13568,0.304068621,0.036961117,0.341339737,0.188524351,0.424147218,0.634708822,0.8684026,0.415935963,0.517907441,0.325425655,0.361567527,0.678384066,0.324127048,0.254906386,0.452162474,0.55803293,0.30207938,0.32638818,0.450420827,0.301964432,0.525128484,0.55580765,0.328297168,0.52845484,0.196535081,0.419755757,0.280066133,0.353205919,0.409625173,0.522911787,0.168452516,0.564133167,0.508743584,0.376044035,0.493729234,0.534339011,0.351835996,0.363080859,0.466443092,0.6366449,0.499345601,0.261953682,0.581808031,0.302367181,0.469816089,0.605560362,0.414057404,0.436932415,0.468329996,0.328197837,0.501324415,0.617910862,0.55880326,0.245462105,0.171220109,0.188093528,0.532377541,0.591533959,0.681140602,0.485538989,0.470603436,0.514866114,0.606606185,0.480850339,0.508785725,0.417900592,0.381760627,0.388780981,0.391107202,0.356726229,0.658091486,0.503039598,0.389077783,0.784638166
128,Segmentation-grayscale-2_119-65739,Segmentation-grayscale_119-65739,88.98166106,79.91435185,10.13799132,7283.865234,6952.541504,1668.469727,244.3190979,1058.293481,2.85E+11,5.400839896,428.3260956,3.240671203,257.6417059,562.877008,464.2168274,182.5831333,646.225436,1.008250151,2.85E+11,0.029577286,100776.7881,642.4014556,937285.0392,11747.48739,542.9521763,108.4775418,0.667193692,7.509185272,4.348952861,49.21275885,0.247510164,0.164277713,0.981223469,0.91328851,-0.098691472,0.76182701,0.167160072,23.10371711,0.001627569,10.28341494,0.684157012,0.006658123,6.317010579,162.8574295,18336.79873,0.028640833,162.3604215,708.7582933,1.22437333,799.6958736,0.005596239,0.004202777,5.759699985,570469.4764,0.890246355,0.938441506,0.08524398,0.955366663,688.8975354,0.003940621,7350.144702,0.023296518,161.7175138,911.6534751,135.6435703,20041.75288,1.086929008,0.003038061,141320.4487,0.447919674,0.695683387,677.7673608,0.001839922,7.368240553,0.462627368,130.9711989,7.614582706,152077.867,0.222993633,2.851849232,20171.20652,161.3320507,691.0191882,9.614557841,3681.739969,0.061033671,0.004317661,0.399408203,362.8361347,0.001201472,50.7120592,1.44E-05,10266.99207,0.259757239,0.04052219,0.42100355,0.168653011,0.337602288,0.347552836,0.49903357,0.319696397,0.542645633,0.263571382,0.282777607,0.318653703,0.269530982,0.254130155,0.284508944,0.40030691,0.283632487,0.278651357,0.248202309,0.270878822,0.261246711,0.310617268,0.257746369,0.167394713,0.23506628,0.274341792,0.296443045,0.252015918,0.340285093,0.356626332,0.264251858,0.274608791,0.441895127,0.359868735,0.280060261,0.265154481,0.284241557,0.246070758,0.252359122,0.290222883,0.320205897,0.232862577,0.382833987,0.334859669,0.207324326,0.262159526,0.398651361,0.243042737,0.457987636,0.215562224,0.254574507,0.323398441,0.394852012,0.248168573,0.187553346,0.273705542,0.245017081,0.288759828,0.319570482,0.308395445,0.354957581,0.394484639,0.476328462,0.355738997,0.404184848,0.436820447,0.382465184,0.363397181,0.271525592,0.23790884,0.313422799,0.448230386,0.379160345,0.258237958
122,Segmentation-grayscale-3_119-65739,Segmentation-grayscale_119-65739,87.89712727,80.51459592,9.719904655,7903.209473,7464.591309,1781.589844,248.4898285,1098.168945,3.08E+11,5.474637736,459.4087219,3.006024563,268.8705291,586.2824232,489.6089172,194.0653694,671.8216361,0.916205117,3.08E+11,0.027518289,107617.231,693.8511108,986738.483,11585.50863,578.6822778,116.8973284,0.66411621,7.856680493,4.407203876,51.99209965,0.238914294,0.155965106,0.979828981,0.909702507,-0.097190212,0.760832452,0.158860001,24.05002092,0.00140271,10.43211656,0.682391507,0.005671683,6.38945447,173.8949015,17201.59809,0.026768624,172.9054356,763.149579,1.209142696,857.1772379,0.00527547,0.004019686,5.814526318,576363.3926,0.896146684,0.941999457,0.079005997,0.95792827,742.4851959,0.003781415,7396.372218,0.022510179,169.4074233,958.2941089,35.75593997,7827.051933,0.261005918,0.002950402,149314.7223,0.45442564,0.700739691,714.9131158,0.001801109,7.375640907,0.4817994,31.44802135,7.643100028,159169.4418,0.233392096,2.613985904,18767.00534,172.269449,745.9084831,8.904120777,3797.021974,0.05464145,0.004126354,0.41494565,397.2148662,0.001205109,51.44114316,1.45E-05,10479.49899,0.2899413,0.038069712,0.347512305,0.158787251,0.381594598,0.485853434,0.694943726,0.329686344,0.448023528,0.350367963,0.412430346,0.531096935,0.245004147,0.232950509,0.403897315,0.528825819,0.212493867,0.33376202,0.468683481,0.292072058,0.393596649,0.450803041,0.325527698,0.479484349,0.20635131,0.322599739,0.312908977,0.338945955,0.401981145,0.485316157,0.155420274,0.478921115,0.525419533,0.372135192,0.531704247,0.348205805,0.403772414,0.228080213,0.526633739,0.433531314,0.402372897,0.230286032,0.475640982,0.331309915,0.422376692,0.489334434,0.521411538,0.402139097,0.571250379,0.293075293,0.467837602,0.53429693,0.47845003,0.15282625,0.162543118,0.160757422,0.372725099,0.452755392,0.645625353,0.352895349,0.409682035,0.586981177,0.526590228,0.586463988,0.38912499,0.44861576,0.432598919,0.363553286,0.281666636,0.307093501,0.471704215,0.455676466,0.397411197,0.592428386
118,Segmentation-grayscale-4_119-65739,Segmentation-grayscale_119-65739,80.31779373,88.94534952,9.740575627,7516.145508,6907.373047,1699.808716,247.8094513,1055.561865,2.89E+11,5.414929655,438.5053253,2.957129843,255.1715011,571.948527,483.7209473,184.7449503,650.9807708,0.886546049,2.89E+11,0.028380335,96650.84643,652.2555484,773737.1308,9386.841372,515.214567,109.2183573,0.650406856,7.634396334,4.365609968,47.98855166,0.241072506,0.157535454,0.981032278,0.911748136,-0.094006602,0.748217699,0.160807569,23.46817649,0.001442732,10.33523429,0.668468167,0.005740162,6.325288186,156.1082311,17774.36199,0.027671824,155.143177,716.7016573,1.209730414,808.3981389,0.005295047,0.004040083,5.755683291,575537.5535,0.895255569,0.941635586,0.078894776,0.957573336,696.5275038,0.003800655,7696.83971,0.023680034,150.9215108,891.030326,30.49265771,7084.785528,0.214898692,0.003004033,145024.5854,0.446181443,0.694302393,655.9001407,0.001843976,7.334702047,0.476602789,26.09028467,7.59533024,158422.3862,0.232296679,2.586415636,19354.90631,154.7303299,701.2762576,8.924094882,3690.950927,0.054851976,0.004144967,0.409341417,363.6002116,0.001217481,49.22269205,1.44E-05,10505.92706,0.253545306,0.03898928,0.389755517,0.193527982,0.466753215,0.42585209,0.612266302,0.377818912,0.46874252,0.284467906,0.289396018,0.491707236,0.292355716,0.243912309,0.33042866,0.412296534,0.251652002,0.285097063,0.329470426,0.334343314,0.511208773,0.351186186,0.373467475,0.370803475,0.224260688,0.360906601,0.260470659,0.321826667,0.442989767,0.465628982,0.269802451,0.447211206,0.468405962,0.38968569,0.286679626,0.422919959,0.215754315,0.301878035,0.326646596,0.494992584,0.452943593,0.297032386,0.438538402,0.289455742,0.288281471,0.394487888,0.32834962,0.351806879,0.42379728,0.226277739,0.244471043,0.423598021,0.427916408,0.235638782,0.178340092,0.227546304,0.330153793,0.504524469,0.377272367,0.348338574,0.428869009,0.375434846,0.43756479,0.330423504,0.4541412,0.37949276,0.347551286,0.321917295,0.29184413,0.320522755,0.446333736,0.432973593,0.385576069,0.581780672
27,Segmentation-grayscale-5_119-65739,Segmentation-grayscale_119-65739,85.98042347,82.57772651,8.451615264,7018.707031,6513.570313,1677.226196,246.1419281,1086.129175,2.99E+11,5.442427266,455.20961,3.04773733,266.8185144,577.0071113,477.8458862,192.597535,662.5023125,0.941050498,2.99E+11,0.028502497,105972.1076,680.131089,1009181.816,12066.66018,581.0030803,104.151743,0.696185437,7.344558769,4.320326987,47.48815567,0.251598571,0.168325711,0.981926899,0.914953621,-0.108530822,0.791813017,0.170858697,23.68368288,0.001621086,10.31018254,0.7158423,0.006964858,6.367261733,171.2887058,17598.34649,0.027543276,170.3723493,744.6171195,1.234506564,844.9377327,0.005524072,0.004079395,5.809185777,567566.393,0.887489936,0.936477212,0.090204184,0.954136428,722.860623,0.003814595,7054.198588,0.022724911,164.7797854,950.3356259,342.9144183,45519.25774,2.84833522,0.002886864,137738.3568,0.443720404,0.692318907,697.0987913,0.001740672,7.405003992,0.455168237,338.0876539,7.687089314,149039.844,0.218538943,3.053917162,19438.21813,169.646752,725.6658392,10.08485989,4029.99907,0.063621,0.004201066,0.392578479,370.3545283,0.001128468,49.21939915,1.52E-05,9894.664684,0.266823636,0.041110651,0.325993687,0.16432327,0.383573771,0.480547279,0.651000917,0.35661301,0.478525311,0.339249015,0.471986055,0.522658408,0.261054426,0.233394012,0.370798051,0.476485014,0.24489902,0.351760507,0.427564263,0.291596055,0.436620533,0.494779319,0.353249907,0.431320339,0.212379739,0.307421476,0.306188852,0.388947427,0.338169456,0.48908785,0.244239733,0.524319947,0.453003526,0.345598847,0.580822825,0.383741379,0.535558283,0.236833662,0.447959274,0.462266952,0.452349305,0.288250625,0.442204505,0.387352735,0.385054052,0.444955945,0.430711806,0.493414909,0.568018794,0.273721337,0.543093026,0.46737805,0.36430493,0.163287282,0.145325407,0.216984957,0.351196736,0.490615398,0.516619861,0.305409074,0.412299573,0.57406497,0.514686942,0.61961621,0.410960346,0.430191547,0.48561272,0.390318841,0.315535665,0.325229675,0.399949908,0.455169111,0.397756785,0.491686374
294,Segmentation-grayscale-6_119-65739,Segmentation-grayscale_119-65739,86.42003036,81.63685239,9.107268103,6570.368164,6442.561035,1588.536987,241.4652191,1045.204858,2.76E+11,5.366555298,417.5493774,3.389766342,255.0979821,551.8960313,449.5429382,179.3220063,635.832555,1.066202925,2.76E+11,0.030890725,99693.80865,624.8954536,992402.4403,12645.76687,544.7135127,99.6966177,0.690803341,7.129267189,4.282274046,46.30152978,0.258072236,0.174781687,0.98268879,0.917256903,-0.106903514,0.783614869,0.177026254,22.6636295,0.001865757,10.17409629,0.708025301,0.00761509,6.289718784,161.1025326,18935.18198,0.029727216,160.8742439,688.4513455,1.247776204,783.6465121,0.005930602,0.00434121,5.749891578,562771.4923,0.882686978,0.93349823,0.09569848,0.952013694,668.029507,0.004051377,7048.640485,0.023465979,160.3607733,902.9448193,458.079024,59917.7002,3.780739964,0.003070121,132524.7633,0.441194776,0.690397472,665.0906991,0.001841525,7.394562641,0.440446463,452.9242012,7.647197788,143548.205,0.210486486,3.257540877,21066.94944,159.6049009,669.2586164,10.70523312,3838.05263,0.070220892,0.004468681,0.381361706,341.4113625,0.001167422,49.74460575,1.47E-05,9822.056781,0.243723524,0.043299475,0.313765734,0.178018913,0.422449321,0.315159678,0.463040084,0.308845341,0.341487706,0.220127851,0.266183436,0.296261251,0.232000127,0.241740525,0.303334683,0.264590651,0.266797811,0.323682547,0.182944894,0.197112679,0.279096931,0.258720636,0.238228798,0.222692385,0.269598603,0.2272515,0.306626648,0.296593994,0.247194856,0.353287518,0.327263653,0.295350581,0.276338786,0.340939373,0.206519052,0.311084956,0.253848106,0.218920231,0.218249545,0.254780769,0.516645133,0.230482399,0.314481765,0.244735494,0.213640958,0.34476313,0.282347709,0.246614426,0.302630544,0.19341886,0.257530272,0.311367482,0.335558087,0.229092106,0.168624133,0.300117224,0.212248132,0.39503473,0.275654912,0.230285093,0.256376386,0.339692533,0.333513469,0.284566909,0.31432119,0.323201746,0.366005093,0.309763759,0.287942767,0.204579756,0.276587933,0.51642549,0.406605542,0.278746247
111,Segmentation-grayscale-7_119-65739,Segmentation-grayscale_119-65739,80.52162862,87.50267702,9.80772488,7898.850586,7418.759766,1882.164795,265.0227539,1107.618481,3.21E+11,5.482614277,459.6145477,2.929619609,266.0192636,605.3097604,515.9717407,193.1135585,686.4826072,0.868436397,3.21E+11,0.02692558,104858.4639,726.387198,909662.8532,10454.58213,560.5318922,116.6014651,0.655834633,7.896758016,4.414059793,51.14558175,0.23575272,0.152545737,0.97985074,0.90914514,-0.094093217,0.753016257,0.155595208,24.80731929,0.001305084,10.46391053,0.673303916,0.00519226,6.393295015,169.2833393,16927.96222,0.026299089,168.2382949,794.8377946,1.201215087,893.0320081,0.004602434,0.003543105,5.813723634,578789.7318,0.898489256,0.943625146,0.075403552,0.958982253,773.058475,0.003339738,7576.03189,0.02275399,163.8098322,978.2604894,25.70566204,6917.374481,0.163936239,0.002650104,150405.503,0.451730579,0.698609642,724.39499,0.001636349,7.366810934,0.488214516,21.51021132,7.634458968,162625.5124,0.238459774,2.465547623,18362.78768,167.8486122,778.529607,8.545452013,3971.059647,0.046075444,0.003632552,0.419107966,409.6782987,0.001097576,48.86110162,1.46E-05,10509.4977,0.2846781,0.036639849,0.341079921,0.248156324,0.393881649,0.430648834,0.606578708,0.379138887,0.457123935,0.314381421,0.275934577,0.51479882,0.306958258,0.266776532,0.34431076,0.364474028,0.207913458,0.29795596,0.352180123,0.273365706,0.460945696,0.370961308,0.325654298,0.381279528,0.214784637,0.367195487,0.267292351,0.321733594,0.355314285,0.435602814,0.248683646,0.402018666,0.435233653,0.384347856,0.39355123,0.416131258,0.250858158,0.320452899,0.337630123,0.475639731,0.437437087,0.254872262,0.457761914,0.276005417,0.295934677,0.385773152,0.272764146,0.306337178,0.421989441,0.231311664,0.35529846,0.423154145,0.403309375,0.300415784,0.173630551,0.196977139,0.335796982,0.443202823,0.475853771,0.346671075,0.3807289,0.375677049,0.391438127,0.293571711,0.3720631,0.309061646,0.334605664,0.366770178,0.254327923,0.35991177,0.433631182,0.426007211,0.372793317,0.562029719
599,Segmentation-grayscale-8_119-65739,Segmentation-grayscale_119-65739,87.62942424,80.2802977,10.01007204,7919.089355,7514.075684,1778.565063,241.7626526,1091.91333,3.00E+11,5.461888462,450.9603729,3.135843474,268.7723381,575.0185758,474.1152039,191.9472307,662.8645819,0.972954699,3.00E+11,0.028202555,108743.0914,673.1464459,1050477.84,12613.22778,585.1825885,117.5945879,0.665567259,7.838204662,4.406097572,52.99108589,0.240670608,0.157821522,0.979752626,0.910013875,-0.097260515,0.760426094,0.160896852,23.5849215,0.001484297,10.40588986,0.682949195,0.00604233,6.375874064,175.6942941,17564.86021,0.027353229,175.0338341,744.0419764,1.212502087,834.6331105,0.005641562,0.004293118,5.807006244,575196.3141,0.894981317,0.941285588,0.080532268,0.957422349,724.1056473,0.004038221,7317.475142,0.02243991,173.84108,946.4583154,56.84394895,10105.93188,0.447927327,0.003146408,148825.0232,0.456389679,0.702305779,709.7721416,0.0019105,7.380167215,0.478152681,52.4700695,7.636298205,157559.6901,0.231031697,2.66278503,19233.6629,174.0759192,726.3497301,9.046364792,3666.01959,0.058286882,0.004404701,0.412924027,390.2824682,0.001275587,52.98991267,1.44E-05,10485.49438,0.292534953,0.038794873,0.322055668,0.171958998,0.355743349,0.532014847,0.656382024,0.328695416,0.489516944,0.316687047,0.376320332,0.506732643,0.270474255,0.242024958,0.400309503,0.41164735,0.24885194,0.382015407,0.456692725,0.278742671,0.348662436,0.437945187,0.32528922,0.413029164,0.209055707,0.302924216,0.320146203,0.3077043,0.322518796,0.434738725,0.220582291,0.469231933,0.453252196,0.327936202,0.638486803,0.351548165,0.405350685,0.259305447,0.504860401,0.402331591,0.317903727,0.239758193,0.449911833,0.31259954,0.415681779,0.481752247,0.480779707,0.384608299,0.462817758,0.302767426,0.550100625,0.506281316,0.476193696,0.179878697,0.15297693,0.183602408,0.421562821,0.434419304,0.597324729,0.401016355,0.377352655,0.575644433,0.46591723,0.541834891,0.367077649,0.422847331,0.415818751,0.368127048,0.273810506,0.323646486,0.454290032,0.414119571,0.375428975,0.51513356
21,Segmentation-grayscale-9_119-65739,Segmentation-grayscale_119-65739,84.0879056,84.06665099,8.391055918,5670.973633,5511.491211,1667.622314,234.6677368,1021.083704,2.64E+11,5.341851465,413.9900818,3.408956995,251.0423996,539.4937317,438.5979004,177.0352189,622.327382,1.065639909,2.64E+11,0.031473177,96237.88384,602.0977358,968365.4222,12480.3244,533.7408863,87.93269491,0.717329989,6.680216822,4.199992534,41.21889332,0.266801089,0.182671072,0.984635853,0.921778562,-0.1145219,0.804015747,0.18476,22.15050048,0.001999764,10.0846643,0.731268772,0.008209263,6.265920463,155.4183953,19186.56907,0.030227151,155.2948125,660.5289881,1.262699267,758.2159041,0.006315831,0.004556763,5.740969414,557363.8737,0.877297023,0.930167219,0.102086972,0.949653716,639.5838125,0.004240692,6802.885036,0.023741402,153.9167631,873.4055859,623.2333348,78677.95405,5.289185642,0.003186844,122752.2923,0.428393467,0.680099341,632.153161,0.001893463,7.431163938,0.420158567,617.5686787,7.671571479,138217.6606,0.202670243,3.434161025,21464.17146,154.0724355,641.590959,11.36205888,3947.752954,0.077825329,0.004693661,0.364026859,313.6627136,0.001167778,47.69441882,1.53E-05,9385.89663,0.22072054,0.046667248,0.148911417,0.291269422,0.133431584,0.155705437,0.148943543,0.183454439,0.124658428,0.174429759,0.151583314,0.174537122,0.156986788,0.193658814,0.168552563,0.224914894,0.159115061,0.171278745,0.136675492,0.226614445,0.281652778,0.106563762,0.112891167,0.157806873,0.239574373,0.192152753,0.276533693,0.210272983,0.25650543,0.258798867,0.310455292,0.147500828,0.189780772,0.187649503,0.094457559,0.123505466,0.21621944,0.211713031,0.142268568,0.125500068,0.284106851,0.19714421,0.17725867,0.279086471,0.110998333,0.140035689,0.138529897,0.190812558,0.24003315,0.144033954,0.132313684,0.245012581,0.223918036,0.197512835,0.236408427,0.225327671,0.180112824,0.168694973,0.144869238,0.153308332,0.25329423,0.371294528,0.164928332,0.193723962,0.112235107,0.209417909,0.288113534,0.226491719,0.220510453,0.144477949,0.124941349,0.134577364,0.203759924,0.211557299
304,Segmentation-grayscale-1_119-65739_2,Segmentation-grayscale_119-65739_2,86.61875982,88.90043288,3.555892781,6118.595703,5679.551758,2201.872314,240.012793,1114.710034,3.17E+11,5.520196248,488.5957947,2.807348608,278.2710942,592.6616238,498.1542358,204.7945357,681.3052598,0.835861449,3.17E+11,0.026285365,112929.0567,721.005714,1133609.274,12730.51802,629.7485679,96.40011652,0.734624258,7.155071876,4.290260355,42.9927705,0.250299919,0.165942801,0.983151068,0.916544175,-0.116582773,0.81997292,0.168700904,24.24180463,0.00141695,10.40198146,0.744747852,0.006136371,6.44799946,181.5371711,16350.30549,0.025555128,180.6703016,784.0581069,1.226241898,893.2858933,0.005648825,0.004202951,5.877750382,569405.0503,0.889300432,0.937854643,0.086205055,0.955007675,760.0376893,0.003935124,6872.806809,0.022106521,167.9928143,970.3786391,328.081928,41608.48695,2.951631831,0.003013903,135388.4124,0.435479542,0.685744463,699.4840712,0.001808687,7.465599688,0.455869135,323.2699944,7.757624706,151634.7917,0.222343947,2.872332413,17926.17185,180.7711348,766.7183595,9.714633649,4407.265341,0.063925745,0.004326463,0.391728386,377.0305711,0.001174726,48.37164973,1.62E-05,9564.119828,0.27721451,0.041883263,0.314430505,0.403399438,0.265036017,0.307632655,0.295660377,0.363372952,0.281354934,0.31217283,0.19214727,0.260273099,0.250502318,0.187371731,0.352563888,0.264696509,0.211273804,0.317429751,0.284210384,0.298446447,0.195551664,0.193727747,0.186214104,0.225566328,0.282473415,0.288064688,0.249079973,0.300407231,0.201453,0.19290854,0.285177886,0.231035978,0.249461755,0.371386856,0.28067404,0.334729791,0.265062451,0.330300391,0.206124559,0.195368752,0.301778793,0.214046896,0.343143046,0.256232381,0.217425048,0.224792942,0.205113962,0.225973263,0.223145798,0.224480763,0.227380157,0.31740272,0.296851963,0.244230255,0.295047164,0.262929678,0.2314578,0.304308265,0.334601551,0.261187881,0.248315558,0.288652867,0.323466122,0.237943158,0.30546385,0.296459734,0.231692508,0.229099452,0.257763982,0.229684189,0.25375995,0.232674032,0.224643394,0.245545506
